M.Pr.S.,Master of Professional Studies,25
M.P.S.,Master of Political Science,25
M.P.T.C.,Master of Technical & Professional Communication,25
M.R.C.,Master of Rehabilitation Counseling,25
M.R.E.D.,Master of Real Estate Development,25
M.S.,Master of Science,25
M.S,Master of Science,25
M.S.A.E.,Master of Science in Aerospace Engineering,25
M.S.B.M.E.,Master of Science in Biomedical Engineering,25
M.S.B.M.S.,Master of Science in Basic Medical Sciences,25
M.S.C.,Master of Science in Commerce,25
M.S.C.E.,Master of Science in Civil Engineering,25
M.S.Che.E.,Master of Science in Chemical Engineering,25
M.S.Chem.,Master of Science in Chemistry,25
M.S.C.J.,Master of Science in Criminal Justice,25
M.S.C.S.,Master of Science in Computer Science,25
M.S.E.,Master of Science in Environmental Engineering,25
M.S.Ed.,Master of Science in Education,25
M.S.E.E.,Master of Science in Electrical Engineering,25
M.S.E.S.M.,Master of Science in Engineering Science & Mechanics,25
M.S.F.S.,Master of Science in Forensic Science,25
M.S.H.A.,Master of Science in Health Administration,25
M.S.H.E.S.,Master of Science in Human Environmental Sciences,25
M.S.H.I.,Master of Science in Health Informatics,25
M.S.I.E.,Master of Science in Industrial Engineering,25
M.S.I.L.A.,Master of Science in Instructional Leadership Administration,25
M.S.I.S.,Master of Science in Information Systems,25
M.S.J.P.S.,Master of Science in Justice and Public Safety,25
M.S.M.E.,Master of Science in Mechanical Engineering,25
M.S.Met.,Master of Science in Metallurgical Engineering,25
M.S.M.Sci.,Master of Science in Marine Science,25
M.S.Mt.E.,Master of Science in Materials Engineering,25
M.S.N.,Master of Science in Nursing,25
M.S.O.R.,Master of Science in Operations Research,25
M.S.O.T.,Master of Science in Occupational Therapy,25
M.S.P.A.S.,Master of Science in Physician Assistant Studies,25
M.S.P.H.,Master of Science in Public Health,25
M.S.S.E.,Master of Science in Software Engineering,25
M.S.W.,Master of Social Work,25
M.Sw.E.,Master of Software Engineering,25
M.T.A.,Master of Tax Accounting,25
M.Tx.,Master of Taxation,25
M.U.R.P.,Master of Urban and Regional Planning,25
Ed.S.,Education Specialist,25
Au.D.,Doctor of Audiology,35
D.B.A.,Doctor of Business Administration,35
D.M.A.,Doctor of Musical Arts,35
D.M.D.,Doctor of Medical Dentistry,35
D.N.P.,Doctor of Nursing Practice,35
D.P.T.,Doctor of Physical Therapy,35
Dr.P.H.,Doctor of Public Health,35
D.Sc.,Doctor of Science,35
D.V.M.,Doctor of Veterinary Medicine,35
Ed.D.,Doctor of Education,35
J.D.,Doctor of Jurisprudence,35
M.D.,Doctor of Medicine,35
O.D.,Doctor of Optometry,35
Pharm.D.,Doctor of Pharmacy,35
Ph.D.,Doctor of Philosophy,35
,Bachelor of Technology in Computer Science Engineering,15
